Seq_ID	Species
IQC10241_22	Cyclospora cayetanensis
IQC10281_22	Cyclospora cayetanensis
IQC10361_22	Cyclospora cayetanensis
S_NY020_18	Cyclospora cayetanensis
S_TX003_18	Cyclospora cayetanensis
S_TX033_18	Cyclospora cayetanensis
S_TX061_18	Cyclospora cayetanensis
SNY10011_22	Cyclospora cayetanensis
SNY10051_22	Cyclospora cayetanensis
SNY10151_19	Cyclospora cayetanensis
SNY10221_20	Cyclospora cayetanensis
SNY10222_20	Cyclospora cayetanensis
SNY10251_19	Cyclospora cayetanensis
SNY10281_21	Cyclospora cayetanensis
SNY10321_19	Cyclospora cayetanensis
SNY10771_22	Cyclospora cayetanensis
SNY10951_22	Cyclospora cayetanensis
SNY11201_22	Cyclospora cayetanensis
SNY11231_22	Cyclospora cayetanensis
SNY11311_21	Cyclospora cayetanensis
SNY11371_22	Cyclospora cayetanensis
SNY11521_22	Cyclospora cayetanensis
SNY11541_21	Cyclospora cayetanensis
SNY11551_22	Cyclospora cayetanensis
SNY11561_22	Cyclospora cayetanensis
SNY11571_22	Cyclospora cayetanensis
SNY11631_22	Cyclospora cayetanensis
SNY11661_21	Cyclospora cayetanensis
SNY11671_22	Cyclospora cayetanensis
SNY11961_19	Cyclospora cayetanensis
SNY12031_22	Cyclospora cayetanensis
SNY12101_19	Cyclospora cayetanensis
SNY13551_19	Cyclospora cayetanensis
STN10011_21	Cyclospora cayetanensis
STX10461_22	Cyclospora cayetanensis
STX10591_22	Cyclospora cayetanensis
STX10592_22	Cyclospora cayetanensis
STX10711_22	Cyclospora cayetanensis
STX10712_22	Cyclospora cayetanensis
STX10851_22	Cyclospora cayetanensis
STX10861_22	Cyclospora cayetanensis
STX10981_22	Cyclospora cayetanensis
SWI10151_22	Cyclospora cayetanensis
CFL12271_22	Cyclospora cayetanensis
CMI10271_22	Cyclospora cayetanensis
CFL10121_21	Cyclospora cayetanensis
CFL10181_21	Cyclospora cayetanensis
CFL10231_21	Cyclospora cayetanensis
CFL10571_21	Cyclospora cayetanensis
CFL10961_21	Cyclospora cayetanensis
CGA10251_21	Cyclospora cayetanensis
CMN10201_21	Cyclospora cayetanensis
CSC10011_21	Cyclospora cayetanensis
CIA10011_20	Cyclospora cayetanensis
CIA10051_20	Cyclospora cayetanensis
CIA10111_20	Cyclospora cayetanensis
CIA10141_20	Cyclospora cayetanensis
CIA10151_20	Cyclospora cayetanensis
CIA10171_20	Cyclospora cayetanensis
CIA10231_20	Cyclospora cayetanensis
CIA10242_20	Cyclospora cayetanensis
CIA10261_20	Cyclospora cayetanensis
CIA10391_20	Cyclospora cayetanensis
CIA10401_20	Cyclospora cayetanensis
CIA10411_20	Cyclospora cayetanensis
CIA10421_20	Cyclospora cayetanensis
CIA10431_20	Cyclospora cayetanensis
CIA10491_20	Cyclospora cayetanensis
CIA10501_20	Cyclospora cayetanensis
CIA10511_20	Cyclospora cayetanensis
CIA10521_20	Cyclospora cayetanensis
CIA10531_20	Cyclospora cayetanensis
CIA10541_20	Cyclospora cayetanensis
CIA10571_20	Cyclospora cayetanensis
CIA10591_20	Cyclospora cayetanensis
CIA10601_20	Cyclospora cayetanensis
CIA10611_20	Cyclospora cayetanensis
CIA10621_20	Cyclospora cayetanensis
CIA10641_20	Cyclospora cayetanensis
CIA10671_20	Cyclospora cayetanensis
CIA10691_20	Cyclospora cayetanensis
CIA10701_20	Cyclospora cayetanensis
CIA10711_20	Cyclospora cayetanensis
CIA10722_20	Cyclospora cayetanensis
CIA10741_20	Cyclospora cayetanensis
CIA10891_20	Cyclospora cayetanensis
CIL10011_20	Cyclospora cayetanensis
CIL10021_20	Cyclospora cayetanensis
CIL10041_20	Cyclospora cayetanensis
CIL10061_20	Cyclospora cayetanensis
CIL10071_20	Cyclospora cayetanensis
CIL10091_20	Cyclospora cayetanensis
CIL10101_20	Cyclospora cayetanensis
CIL10121_20	Cyclospora cayetanensis
CIL10172_20	Cyclospora cayetanensis
CIL10241_20	Cyclospora cayetanensis
CIL10281_20	Cyclospora cayetanensis
CIL10301_20	Cyclospora cayetanensis
CIL10341_20	Cyclospora cayetanensis
CIL10401_20	Cyclospora cayetanensis
CIL10431_20	Cyclospora cayetanensis
CIL10441_20	Cyclospora cayetanensis
CIL10471_20	Cyclospora cayetanensis
CIL10481_20	Cyclospora cayetanensis
CIL10511_20	Cyclospora cayetanensis
CIL10621_20	Cyclospora cayetanensis
CIL10631_20	Cyclospora cayetanensis
CIL10651_20	Cyclospora cayetanensis
CIL10661_20	Cyclospora cayetanensis
CIL10711_20	Cyclospora cayetanensis
