Seq_ID	Assigned_cluster
CUK10151_16	1
CUK10161_16	1
CUK10171_16	4
CUK10191_16	35
CUK10241_16	32
CVA10031_19	2
CVA10031_20	9
CVA10041_19	2
CVA10041_20	44
CVA10101_19	11
CWI10022_20	5
CWI10032_20	5
CWI10041_19	58
CWI10042_20	47
CWI10051_21	21
CWI10061_20	47
CWI10071_20	5
CWI10071_21	21
CWI10081_20	5
CWI10091_20	47
CWI10091_21	16
CWI10101_19	7
CWI10101_20	47
CWI10111_20	47
CWI10121_20	47
CWI10131_19	2
CWI10131_20	5
CWI10141_19	58
CWI10151_19	1
CWI10151_20	47
CWI10161_20	5
CWI10171_20	5
CWI10181_20	47
CWI10191_20	47
CWI10221_20	5
CWI10241_20	5
CWI10261_21	21
CWI10271_20	7
CWI10281_20	7
CWI10311_20	46
CWI10341_20	7
CWI10371_20	1
CWI10391_20	60
CWI10421_19	45
CWI10561_21	4
C_CA003_18	58
C_CA015_18	34
C_CA017_18	2
C_CA018_18	41
C_CA023_18	18
C_ChHenan	62
C_IA016_18	7
C_IA017_18	63
C_IA018_18	56
C_IA039_18	49
C_IA040_18	49
C_IA042_18	56
C_IA048_18	49
C_IA052_18	49
C_IA058_18	49
C_IA059_18	56
C_IA062_18	49
C_IA064_18	49
C_IA065_18	64
C_IA068_18	49
C_IA069_18	49
C_IA070_18	49
C_IA075_18	49
C_IA076_18	49
C_IA077_18	49
C_IA078_18	49
C_IA082_18	49
C_IA083_18	49
C_IA087_18	49
C_IA091_18	49
C_IA092_18	49
C_IA093_18	49
C_IA094_18	49
C_IA102_18	49
C_IA104_18	49
C_IA107_18	49
C_IA110_18	49
C_IA111_18	49
C_IA176_18	17
C_IL001_18	1
C_IL013_18	49
C_IL014_18	49
C_IL018_18	49
C_IL019_18	49
C_IL020_18	49
C_IL022_18	49
C_IL023_18	49
C_IL024_18	49
C_IL025_18	49
C_IL031_18	49
C_IL032_18	49
C_IL033_18	49
C_IL034_18	49
C_IL036_18	49
C_IL037_18	49
C_IL039_18	49
C_IL040_18	49
C_IL041_18	1
C_IL042_18	49
C_IL043_18	49
C_IL044_18	57
C_IL046_18	49
C_IL047_18	49
C_IL048_18	49
C_IL049_18	49
C_IL050_18	49
C_IL053_18	7
C_IL054_18	49
C_IL055_18	49
C_IL056_18	49
C_IL058_18	49
C_IL060_18	49
C_IL062_18	49
C_IL063_18	7
C_IL065_18	49
C_IL066_18	49
C_IL067_18	49
C_IL071_18	49
C_IL072_18	49
C_IL075_18	11
C_IL076_18	49
C_IL077_18	49
C_IL078_18	49
C_IL079_18	49
C_IL080_18	49
C_IL081_18	57
C_IL086_18	49
C_IL087_18	49
C_IL099_18	49
C_IL119_18	49
C_IL126_18	49
C_IL168_18	49
C_IL170_18	49
C_IL189_18	49
C_IL199_18	49
C_IL219_18	1
C_MA001_14	65
C_MO003_18	49
C_MX001_17	15
C_OH001_18	49
C_OH003_18	49
C_OH004_18	49
C_OH014_18	49
C_SD001_18	46
C_WI011_18	56
C_WI020_18	56
C_WI026_18	56
C_WI031_18	56
C_WI033_18	56
C_WI038_18	56
C_WI039_18	56
C_WI040_18	56
C_WI092_18	56
C_WI093_18	56
C_WI094_18	56
C_WI095_18	56
C_WI096_18	56
C_WI097_18	56
C_WI098_18	56
C_WI099_18	56
C_WI100_18	56
C_WI101_18	56
C_WI102_18	56
C_WI103_18	56
C_WI107_18	56
C_WI109_18	56
C_WI112_18	56
C_WI113_18	18
C_WI114_18	56
C_WI118_18	56
C_WI121_18	56
C_WI122_18	56
C_WI125_18	56
C_WI128_18	56
C_WI129_18	56
C_WI131_18	56
C_WI133_18	56
C_WI135_18	56
C_WI138_18	56
C_WI144_18	1
C_WI150_18	56
C_WI159_18	56
C_WI172_18	56
C_WI173_18	56
C_WI177_18	56
C_WI178_18	56
C_WI182_18	17
C_WI185_18	1
C_WI186_18	24
C_WI187_18	49
C_WI194_18	49
C_WI197_18	49
C_WI198_18	49
C_WI199_18	1
C_WI205_18	1
C_WI206_18	5
C_WI208_18	49
C_WI257_18	49
C_WI259_18	1
HCJK015_15	66
HCJK031_15_s	66
HCWI043_18	56
HCWI044_18	56
HCWI045_18	50
HCWI046_18	50
HCWI047_18	50
HCWI048_18	56
HCWI049_18	56
HCWI050_18	56
HCWI051_18	56
HCWI052_18	56
HCWI053_18	56
HCWI054_18	56
HCWI055_18	56
HCWI056_18	56
HCWI057_18	56
HCWI058_18	56
HCWI059_18	56
HCWI060_18	56
HCWI062_18	56
HCWI063_18	56
HCWI065_18	56
